YearMonthKey,ItemCode,ItemDescription,ItemCategory,ItemSize,TotalInventory,Price,StockValue,SnapshotDate
202509,47612,HARTFORD COURT R/R CHARD - 750ML (1 Bottle),AMERICAN WHITE,750ML,168,29.99,5038.32,2025-09-18
202509,47791,PATRON SILVER TEQ - 50ML,TEQUILA,50ML,0,6.39,0.0,2025-09-18
202509,49030,CHAPPELLET NAPA CAB - 750ML,AMERICAN RED,750ML,0,116.99,0.0,2025-09-18
202509,67580,BAREFOOT BUBBLY BRUT - 750ML,SPARKLING,750ML,168,12.99,2182.32,2025-09-18
202509,46700,CUPCAKE CENTRAL COAST P/NOIR - 750ML,AMERICAN RED,750ML,324,14.99,4856.76,2025-09-18
202509,422304,KIM CRAWFORD S/BLC - 375ML,NEW ZEALAND,375ML,900,12.99,11691.0,2025-09-18
202509,247781,ST AGRESTIS PHONY ESPRESSO NEGRONI NA 16/2PK - 200ML NR (2-Pack),NON-ALCOHOLIC MIXERS,2pk,0,9.99,0.0,2025-09-18
202509,82236,FRANZIA BURGUNDY BIB - 5L,AMERICAN TABLE WINE,5L,60,24.99,1499.3999999999999,2025-09-18
202509,366300,SEACRETS PUMPKIN SPICED RUM - 750ML,DOMESTIC RUM FLAVORS,750ML,0,34.99,0.0,2025-09-18
202509,54278,TRIPPY GOAT VODKA - 750ML,DOMESTIC VODKA,750ML,0,15.99,0.0,2025-09-18
202509,76406,CAVIT MER - 1.5L,ITALIAN RED WINE,1.5L,0,22.99,0.0,2025-09-18
202509,79989,ANGELS ENVY BOURBON PORT FINISH - 750ML,STRAIGHT BOURBON WHISKEY,750ML,1740,47.99,83502.6,2025-09-18
202509,171831,LUXARDO MARASCHINO LIQUER - 750ML,DOMESTIC CORDIALS,750ML,24,35.99,863.76,2025-09-18
202509,349218,FRANZIA ROSE - 5L,AMERICAN TABLE WINE,5L,68,24.99,1699.32,2025-09-18
202509,43940,ST FRANCIS SONOMA MERLOT - 750ML,AMERICAN RED,750ML,408,22.99,9379.92,2025-09-18
202509,42102,MR BOSTON'S - BLACK RASPBERRY - 1L,DOMESTIC CORDIALS,1L,0,6.99,0.0,2025-09-18
202509,353590,VALDESPINO PEDRO XIMENEZ EL CANDADO - 750ML,SPANISH/PORTUGUESE,750ML,0,27.99,0.0,2025-09-18
202509,54205,BAILEYS CHURROS LIQUEUR - 50ML,IMPORTED CORDIALS,50ML,0,3.49,0.0,2025-09-18
202509,71522,GLENMORANGIE QUINTA RUBAN 14YR - 750ML,SINGLE MALT SCOTCH,750ML,0,79.99,0.0,2025-09-18
202509,41235,M&R VERM BIANCO - 750ML,VERMOUTH,750ML,0,17.99,0.0,2025-09-18
202509,168233,NORMAND BOURGOGNE CHARDONNAY 750ML,FRENCH WHITE WINE,750ML,0,29.99,0.0,2025-09-18
202509,308588,DARON CALVADOS FIN 750ML,IMPORTED BRANDY,750ML,0,59.99,0.0,2025-09-18
202509,232044,CONCRETE CAB - 750ML,AMERICAN RED,750ML,0,17.99,0.0,2025-09-18
202509,167857,SCOTTY'S VODKA 375ML,DOMESTIC VODKA,375ML,0,6.99,0.0,2025-09-18
202509,83531,BAREFOOT CEL PINK MOSCATO - 187ML,AMERICAN BLUSH,187ML,192,1.99,382.08,2025-09-18
202509,239586,BUZZBALLZ CHILLERS PEACH 24/CS - 187ML,WINE-BASED COOLERS,187ML,3456,3.99,13789.44,2025-09-18
202509,91071,ON THE ROCKS PEAR WHSKY SOUR RTD 375ML,LIQ BASED RTD,375ML,0,11.99,0.0,2025-09-18
202509,166853,SUTTER HOME FRUIT INFUSION PEACH 12/750ML,AMERICAN BLUSH,750ML,0,6.99,0.0,2025-09-18
202509,87320,NICOLAS FEUILLATTE BRUT - 750ML,CHAMPAGNE,750ML,108,53.99,5830.92,2025-09-18
202509,13356,SILVER BRANCH SQUEEGEE MASTER 4/6 CANS - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,0,14.99,0.0,2025-09-18
202509,243420,POGGIO COSTA PROSECCO BRUT - 750ML,ITALIAN WHITE WINE,750ML,816,14.99,12231.84,2025-09-18
202509,16413,SILVER BRANCH SEASONAL SERIES 4/6 CANS - 12.0Z (6-Pack),DOMESTIC CAN BEER,6pk,0,13.99,0.0,2025-09-18
202509,62430,MARK WEST CHARD - 750ML,AMERICAN WHITE,750ML,324,12.99,4208.76,2025-09-18
202509,35203,SMIRNOFF VODKA - CITRUS TW - 1.75L,DOMESTIC VODKA FLAVORS,1.75L,0,24.99,0.0,2025-09-18
202509,342198,NICOLAS ROSE 750ML,FRANCE-OTHER,750ML,264,9.99,2637.36,2025-09-18
202509,303520,DECOY MERLOT - 750ML,AMERICAN RED,750ML,348,23.99,8348.519999999999,2025-09-18
202509,338993,FREEMARK ABBEY MER - 750ML,AMERICAN RED,750ML,0,35.99,0.0,2025-09-18
202509,14413,BUTTERFLY BERRY VODKA SODA 6/4 CANS - 355ML (4-Pack),LIQ BASED RTD,4pk,0,14.99,0.0,2025-09-18
202509,63096,CH TOUR DE GOUPIN RED BLEND - 750ML,RED BORDEAUX WINE,750ML,492,15.99,7867.08,2025-09-18
202509,91139,JOSE CUERVO TRADICIONAL BLANCO TEQUILA 1L,TEQUILA,1L,360,24.99,8996.4,2025-09-18
202509,170760,DEWEY CRUSH ORANGE CRUSH VODKA RTD 6/4PK 355ML CAN (4-Pack),SESSION RTD,4pk,0,15.99,0.0,2025-09-18
202509,379336,CHATEAU MASCARD RED - 750ML,FRENCH RED WINE,750ML,0,24.99,0.0,2025-09-18
202509,340730,TEXTBOOK NAPA MER - 750ML (1 Bottle),AMERICAN RED,750ML,0,29.99,0.0,2025-09-18
202509,79529,MARTINI & ROSSI SWEET VERMOUTH - 1.5L,VERMOUTH,1.5L,492,18.99,9343.08,2025-09-18
202509,373044,LEESE FITCH CAB - 750ML,AMERICAN RED,750ML,180,14.99,2698.2,2025-09-18
202509,87319,R MONDAVI PR SEL SAUVIGNON BLANC 750ML,AMERICAN WHITE,750ML,432,9.99,4315.68,2025-09-18
202509,171258,WHIPSHOTS PUMPKIN SPICE INFUSED WHIPPED CREAM VODKA 200ML,DOMESTIC VODKA FLAVORS,200ML,0,13.99,0.0,2025-09-18
202509,18803,BUTTERFLY LEMON LIME VODKA SODA RTD 6/4 CANS - 355ML (4-Pack),LIQ BASED RTD,4pk,0,14.99,0.0,2025-09-18
202509,18804,TRULY VODKA SELTZER CHERRY LIME 6/4 CANS - 12.0Z (4-Pack),SESSION RTD,4pk,0,9.99,0.0,2025-09-18
202509,319764,ANGOSTURA BITTERS 48CS - 4OZ - 4.0Z,NON-ALCOHOLIC WINE,4.0Z,0,16.99,0.0,2025-09-18
202509,20613,SEAGRAM'S 7 CROWN - 750ML,BLENDED WHISKEY,750ML,204,13.99,2853.96,2025-09-18
202509,169788,MOM WATER KAREN LEMON BLUEBERRY 6/4PK 355ML (4-Pack),SESSION RTD,4pk,0,13.99,0.0,2025-09-18
202509,89287,2XO SNEAKERHEAD BLEND BOURBON - 750ML,BLENDED WHISKEY,750ML,0,92.99,0.0,2025-09-18
202509,41319,HENNESSY COGNAC VS - 50ML,COGNAC,50ML,0,5.99,0.0,2025-09-18
202509,75078,BERINGER FOUNDERS EST CHARD - 1.5L,AMERICAN WHITE,1.5L,258,20.99,5415.419999999999,2025-09-18
202509,84689,HESS SEL CALIFORNIA CAB - 750ML,AMERICAN RED,750ML,492,17.99,8851.08,2025-09-18
202509,89109,CARLO ROSSI BL-SW ROSE - 4L,AMERICAN BLUSH,4L,0,19.99,0.0,2025-09-18
202509,246105,TRES AGAVES ORGANIC PALOMA MIX 1L,NON-ALCOHOLIC MIXERS,1L,0,9.99,0.0,2025-09-18
202509,437638,DOLIN RED VERMOUTH - 750ML,VERMOUTH,750ML,180,21.99,3958.2,2025-09-18
202509,88206,DOM GALUVAL CAIRANNE RGE - LA MONTAGNE - 750ML (1 Bottle),FRANCE-OTHER,750ML,0,29.99,0.0,2025-09-18
202509,72275,CASAMIGOS MEZCAL TEQUILA - COASTER - 750ML,TEQUILA,750ML,0,58.99,0.0,2025-09-18
202509,351608,AUSTIN HOPE CAB - 750ML,AMERICAN RED,750ML,240,65.99,15837.599999999999,2025-09-18
202509,51322,LA CREMA R/R P/NOIR - 750ML,AMERICAN RED,750ML,336,38.99,13100.640000000001,2025-09-18
202509,169565,OPICI MADEIRA 3L - 3LTR,DOMESTIC DESSERT WINE,3LTR,0,30.99,0.0,2025-09-18
202509,247726,ZOU CREMANT DE LIMOUX ROSE - 750ML,SPARKLING,750ML,0,18.99,0.0,2025-09-18
202509,574787,CONNIPTION NAVY STRENGTH GIN - 750ML,DOMESTIC GIN,750ML,0,44.99,0.0,2025-09-18
202509,354874,FIT VINE PROSECCO SPUMANTE BRUT - 750ML,ITALIAN WHITE WINE,750ML,0,22.99,0.0,2025-09-18
202509,89330,TOP BOX RED BLEND BIB 6/CS - 3L,AMERICAN RED,3L,0,19.99,0.0,2025-09-18
202509,59129,CHARTREUSE YELLOW 80P - 750ML,IMPORTED CORDIALS,750ML,0,89.99,0.0,2025-09-18
202509,16705,HPNOTIQ LIQUEUR - 750ML,IMPORTED CORDIALS,750ML,198,26.99,5344.0199999999995,2025-09-18
202509,42896,FOUR ROSES BOURBON - 1.75L,STRAIGHT BOURBON WHISKEY,1.75L,186,41.99,7810.14,2025-09-18
202509,82026,CK MONDAVI CAB - 750ML,AMERICAN RED,750ML,0,8.99,0.0,2025-09-18
202509,22004,GREY GOOSE VODKA - L'ORANGE - 750ML,IMPORTED VODKA FLAVORS,750ML,306,33.99,10400.94,2025-09-18
202509,54252,NOIR SUNSHINE LEGACY SAUV BLANC - 750ML,AMERICAN WHITE,750ML,0,47.49,0.0,2025-09-18
202509,355970,DAOU PASO ROBLES ROSE - 750ML,AMERICAN BLUSH,750ML,156,22.99,3586.4399999999996,2025-09-18
202509,54134,BELVEDERE VODKA - B10 ORGANIC - 750ML,IMPORTED VODKA,750ML,0,128.99,0.0,2025-09-18
202509,79340,FREIXENET CORDON NEGRO BRUT - 1.5L,SPARKLING,1.5L,0,31.99,0.0,2025-09-18
202509,50768,H WALKER TRIPLE SEC 30P - 1L,DOMESTIC CORDIALS,1L,720,10.99,7912.8,2025-09-18
202509,170894,CATENA ROSE 750ML,ARGENTINA,750ML,0,18.99,0.0,2025-09-18
