"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"297287","NON-ALCOHOLIC MIXERS","MASTER OF MIXES BIG BUCKET STRAWBERRY MARGARITA 4/96OZ - 96.0Z","96.0Z","0","$9.99",,
"325365","ITALIAN WHITE WINE","TROPICAL MOSCATO MANGO 750ML","750ML","0","$13.99",,
"70109","DOMESTIC VODKA FLAVORS","DEEP EDDY VODKA - RUBY RED - 750ML","750ML","324","$17.99",,
"89347","BLENDED WHISKEY","BARRELL FOUND BOURB 5YR BLEND OF STRAIGHT BOURB WHISKEYS - 750ML","750ML","0","$63.99",,
"403687","AMERICAN WHITE","MERRY EDWARDS S/BLC 750ML","750ML","0","$63.99",,
"391395","AMERICAN RED","L'ECOLE 41 RED - 750ML","750ML","0","$29.99",,
"91066","STRAIGHT BOURBON WHISKEY","BASIL HAYDEN 10YR 750ML","750ML","0","$67.99",,
"241827","IMPORTED VODKA FLAVORS","SVEDKA VODKA CHERRY LIMEADE - 750ML","750ML","0","$12.99",,
"71818","DOMESTIC VODKA FLAVORS","NEW AMSTERDAM VODKA - GRAPEFRUIT - 750ML","750ML","0","$11.99",,
"354806","IMPORTED CORDIALS","MELETTI LIMONCELLO - 750ML","750ML","0","$28.99",,
"298073","STRAIGHT RYE WHISKEY","BALLOTIN CHOC PEANUT BUTTER WHISKEY CREAM 750ML","750ML","0","$26.99",,
"41491","SPARKLING","SEGURA VIUDAS CAVA ESTATE BRUT - 750ML","750ML","2484","$14.99",,
"249238","IMPORTED RUM FLAVORS","PARROT BAY COCONUT 42PF - 1.75L PET","1.75L","0","$17.99",,
"231968","SPANISH/PORTUGUESE","OLARRA CLASICO RESA RIOJA - 750ML","750ML","0","$22.99",,
"66290","ITALIAN WHITE WINE","CAVALIERE D'ORO GABBIANO P/GRIG - 750ML","750ML","276","$10.99",,
"38679","IMPORTED RUM","CASTILLO RUM - WHITE - 1.75L","1.75L","450","$18.99",,
"13773","AMERICAN RED","TREFETHEN EB NAPA MERLOT - 750ML","750ML","0","$45.99",,
"342107","DOMESTIC VODKA","DEEP EDDY STRAIGHT VODKA - 1.75L","1.75L","378","$27.99",,
"325414","NON-ALCOHOLIC WINE","SUTTER HOME FRE' WH ZIN - 750ML","750ML","0","$12.99",,
"247480","SPARKLING","LE GARENNE CREMANT DE LOIRE - 750ML","750ML","0","$26.99",,
"52088","DOMESTIC CORDIALS","RUM CHATA PUMPKIN SPICE - 750ML","750ML","0","$25.99",,
"72901","TEQUILA","KAH REPOSADO TEQUILA - 750ML","750ML","0","$77.99",,
"68225","SHERRY","DRY SACK MEDIUM SHERRY - 750ML","750ML","0","$17.99",,
