"Code","Category","Description","Size","Total Inventory","Price","Sale Price","Sale End Date"
"84107","AMERICAN RED","SUTTER HOME MER - 750ML","750ML","396","$9.99",,
"20158","LIQ BASED RTD","TIGER ROSE RUM PUNCH 750ML","750ML","0","$23.99",,
"27456","AMERICAN WHITE","BOGLE S/BLC - 750ML","750ML","540","$11.99",,
"85685","AMERICAN WHITE","LIVINGSTON CELLARS CHARD - 3LTR","3LTR","32","$18.99",,
"22837","IMPORTED VODKA FLAVORS","ABSOLUT VODKA - MANDRIN - 1.75L","1.75L","84","$44.99",,
"42484","DOMESTIC LIQUOR SPECIALTY","99 SCHNAPPS TOASTY FLAVORITES 10PK - 50ML (10-Pack)","10pk","0","$10.90",,
"7870","MALT BASE COOLERS","MIKES HARD BLACK CHERRY-NR - 11.2Z (6-Pack)","6pk","7032","$9.99",,
"13869","LIQ BASED RTD","CUTWATER LIME MARGARITA 6/4 CAN - 12.0Z (4-Pack)","4pk","552","$12.99",,
"54276","BLENDED WHISKEY","FALLEN OAK MAPLE WHISKEY - 750ML","750ML","0","$38.99",,
"248154","IMPORTED RUM","PLANTERAY 3 STARS RUM 750ML","750ML","0","$25.99",,
"245930","AMERICAN RED","19 CRIMES FRANKENSTEIN CAB - 750ML","750ML","0","$12.99",,
"23880","DOMESTIC BOTTLE BEER","SAM ADAMS HOLIDAY WHITE ALE-NR - 12.0Z (6-Pack)","6pk","0","$10.99",,
"50105","IMPORTED CORDIALS","CAMPARI APERITIVO - 750ML","750ML","1020","$33.99",,
"83224","AMERICAN WHITE","CANYON ROAD CHARDONNAY - 750ML","750ML","540","$7.59",,
"346618","AMERICAN RED","LINGANORE MOUNTAIN SWEET RED - 750ML","750ML","144","$13.99",,
"44503","SPANISH/PORTUGUESE","TERRA UNICA TEMP - 750ML","750ML","0","$12.99",,
"246283","SESSION RTD","SURFSIDE GREEN TEA VODKA 6/4PK RTD 12OZ CAN - 12.0Z (4-Pack)","4pk","4488","$8.99",,
"380004","SPARKLING","STELLA ROSA PAIRING PACK 6/5 187ML (5-Pack)","5pk","0","$26.99",,
"82724","AMERICAN WHITE","FETZER ANTHONY HILL CHARD - 1.5L","1.5L","126","$16.99",,
"166455","STRAIGHT BOURBON WHISKEY","WILD TURKEY LONGBRANCH - 750ML","750ML","6","$35.99",,
"414930","AMERICAN RED","ANTICA N/V CAB - 750ML","750ML","0","$84.99",,
"15489","LIQ BASED RTD","DEVILS BACKBONE GRAPEFRUIT SMASH 6/4 CANS - 12.0Z (4-Pack)","4pk","0","$12.99",,
"89917","LIQ BASED RTD","DIRTY SHIRLEY EXTRA DIRTY VODKA CKTL 6/4PK - 12OZ CN - 12.0Z (4-Pack)","4pk","0","$16.99",,
"42854","SPARKLING","ROEDERER EST BRUT ROSE 750ML","750ML","0","$42.99",,
"246436","AMERICAN WHITE","JOSH CELLARS SPARKLING WHITE NA 750ML","750ML","408","$16.99",,
"16138","AMERICAN RED","URBAN WINERY BLUEBERRY PINOT NOIR 750ML","750ML","0","$20.99",,
"54325","STORE SUPPLIES","BARSMITH DEHYDRATED ORANGES 1.6 OZ - 1.6Z","1.6Z","432","$9.99",,
"15122","DOMESTIC CAN BEER","7 LOCKS BILLY GOAT TR'ALE SESSION PALE 4/6 CANS - 12.0Z (6-Pack)","6pk","0","$15.99",,
"41181","COGNAC","HENNESSY COGNAC VSOP PRIVILAGE - 750ML","750ML","360","$73.99",,
"18520","AMERICAN RED","OLNEY WINERY WILDBERRY BLAST - 750ML","750ML","0","$16.99",,
"42640","BLENDED WHISKEY","OLD ELK PORT CASK FINISH BLENDED STRAIGHT BOURB WHISKEY - 750ML","750ML","0","$107.99",,
"244156","ITALIAN RED WINE","ALLEGRINI AMARONE VALPOLICELLA CLASS - 750ML","750ML","0","$96.99",,
"41399","DOMESTIC GIN","MCCLINTOCK FORAGER GIN - 750ML","750ML","12","$35.99",,
"37117","MALT BASED SELTZER","VIZZY TANGY LEMONADE VP 2/12PK CAN - 12.0Z (12-Pack)","12pk","0","$19.99",,
"170584","STRAIGHT BOURBON WHISKEY","JEFFERSON'S BRBN - OCEAN CASK STRENGTH  V33 BARRELL #457 750ML (1 Bottle)","750ML","0","$96.99","$67.89","09/30/2025"
"239520","TEQUILA","ILEGAL MEZCAL ANEJO - 750ML","750ML","0","$102.99",,
"89082","STRAIGHT BOURBON WHISKEY","BARRELL BOURB PR REL D73I WINTER WONDERLAND MOCO SEL - 750ML (1 Bottle)","750ML","0","$129.99","$90.99","09/30/2025"
"171118","AMERICAN WHITE","ELEMENTAL PINOT GRIGIO 750ML","750ML","0","$17.99",,
"37064","DOMESTIC CAN BEER","MIKES HARD LEMONADE SELTZER VP 2/12 CAN - 12.0Z (12-Pack)","12pk","0","$21.99",,
"55613","SINGLE MALT SCOTCH","MACALLAN 15YR - DOUBLE CASK - 750ML","750ML","0","$212.99",,
"19129","DOMESTIC CAN BEER","LONE OAK ROCK CREEK PALE ALE 6/4 16OZ CANS - 16.0Z (4-Pack)","4pk","0","$17.99",,
"88824","STRAIGHT BOURBON WHISKEY","MR & MRS TERPS RESERVE STRAIGHT KY BOURBON WHISKEY MOCO - 750ML","750ML","0","$129.99",,
"115","STORE SUPPLIES","PLASTIC SHOT GLASS PACK - BAG","BAG","864","$1.99",,
"41599","AMERICAN RED","RIDGE PASO CAL ZIN PASO ROBLES - 750ML","750ML","0","$47.99",,
"52173","STRAIGHT BOURBON WHISKEY","EZRA BROOKS DIST COLL BRL 16988 - 113P- 750ML (1 Bottle)","750ML","0","$41.99","$29.39","09/30/2025"
"48587","SOUR MASH WHISKEY","MICHTERS US1 SOUR MASH WHISKEY - 750ML","750ML","0","$55.99",,
"28126","IMPORTED CORDIALS","COINTREAU - 50ML","50ML","0","$3.39",,
"43416","AMERICAN WHITE","LINGANORE STRAWBERRY - 750ML","750ML","0","$13.99",,
"248006","AMERICAN RED","RAEBURN SONOMA CABERNET SAUVIGNON 750ML","750ML","0","$23.99",,
"89793","LIQ BASED RTD","TIP TOP GIN MARTINI COCKT RTD 6/4PK - 100ML (4-Pack)","4pk","0","$23.99",,
"379048","ITALIAN RED WINE","JERMANN PINOT NOIR RED ANGEL - 750ML","750ML","0","$40.99",,
"377406","NON-ALCOHOLIC MIXERS","CLEANCO CLEAN V ALT NA - 700ML","700ML","0","$32.99",,
"56832","STRAIGHT BOURBON WHISKEY","JEFFERSONS PRICHARD HILL SB  #  38 -  90.2P - 750ML (1 Bottle)","750ML","0","$71.99","$50.39","09/30/2025"
"90940","STRAIGHT BOURBON WHISKEY","STRANAHANS NY BOURBON BARREL 750ML (1 Bottle)","750ML","0","$43.99","$30.79","09/30/2025"
"243922","RED BORDEAUX WINE","CH JALOUSIE BEAULIEU CUV PRESTIGE RED BORD SUP - 750ML","750ML","0","$17.99",,
"54280","DOMESTIC LIQUOR SPECIALTY","FORDHAM LEE BOURBON MOCO SELECT 750ML (1 Bottle)","750ML","0","$45.99","$32.19","09/30/2025"
"89170","TEQUILA","CIERTO TEQ BLANCO PRIVATE COLL - 750ML","750ML","0","$107.99",,
"30227","AMERICAN RED","MURPHY GOODE CALIF RED BLEND - 750ML","750ML","192","$14.99",,
"89685","STRAIGHT RYE WHISKEY","GREEN RIVER KY STRAIGHT RYE WHISKEY - 750ML","750ML","0","$39.99",,
"11797","STRAIGHT BOURBON WHISKEY","JIM BEAM WHITE - 200ML","200ML","1536","$6.99",,
"170583","STRAIGHT BOURBON WHISKEY","JEFFERSON'S RESERVE 100P SBRL #859 750ML (1 Bottle)","750ML","0","$64.99","$45.49","09/30/2025"
"71244","DOMESTIC VODKA FLAVORS","SMIRNOFF VODKA - PEPPERMINT TWIST - 50ML","50ML","0","$0.99",,
"166834","AMERICAN TABLE WINE","SWEETLAND CELLARS VIVA SANGRIA 1.5L","1.5L","0","$19.99",,
"91160","STRAIGHT BOURBON WHISKEY","MAKER'S MARK PRIVATE SELECT BARREL P1 750ML (1 Bottle)","750ML","0","$65.99","$46.19","09/30/2025"
"19131","MEAD (WINE)","CLEAR SKIES FRIENDING FENRIR 6/4 12OZ CANS - 12.0Z (4-Pack)","4pk","0","$28.99",,
"89795","IMPORTED RUM","PROBITAS WHITE BLENDED RUM - 750ML","750ML","0","$36.99",,
"309216","AMERICAN RED","PLUMPJACK OAKVILLE ESTATE CAB 750ML","750ML","0","$174.99",,
"89612","DOMESTIC LIQUOR SPECIALTY","99 SCHNAPPS BLUE RASPBERRIES - 50ML","50ML","0","$1.09",,
"91161","STRAIGHT BOURBON WHISKEY","MAKER'S MARK PRIVATE SELECT BARREL P2 750ML (1 Bottle)","750ML","0","$65.99","$46.19","09/30/2025"
"243634","CHAMPAGNE","CHAMP HENRIOT BRUT MILLESIME - 750ML","750ML","0","$129.99",,
"170590","DOMESTIC VODKA FLAVORS","HOLISTIC ORIGEN VODKA 750ML","750ML","0","$36.99",,
"247138","RHONE RED WINE","GRAND VENEUR CDP LES ORIGINES - 750ML","750ML","0","$73.99",,
"52097","SOUR MASH WHISKEY","JACK DANIELS S BARREL - PERSONAL SELECT -3- 75OML- 23-03827 - 750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"88247","STRAIGHT BOURBON WHISKEY","YELLOWSTONE HAND PICKED BRL 102P  BRL 2  8039954 - 750ML (1 Bottle)","750ML","0","$54.99","$38.49","09/30/2025"
"42177","TEQUILA","CASAMIGOS TEQUILA REPOSADO - 1L","1L","90","$69.99",,
"73885","DOMESTIC VODKA FLAVORS","BURNETTS VODKA - LIME - 1.75L","1.75L","0","$14.99",,
"83829","AMERICAN BLUSH","BLACK BOX CALIFORNIA ROSE BIB - 3L","3L","102","$21.99",,
"19124","DOMESTIC CAN BEER","LONE OAK GOLDEN ROD 6/4 16OZ CANS - 16.0Z (4-Pack)","4pk","0","$17.99",,
"30960","IMPORTED NON ALCOHOLIC BEER","CORONA NON-ALC  4/6 NR - 12.0Z (6-Pack)","6pk","3648","$10.99",,
"380936","SESSION RTD","BARTENURA PEACH BELLINI RTD 250ML 4PK CAN (4-Pack)","4pk","0","$18.99",,
"54482","STRAIGHT BOURBON WHISKEY","CLYDE MAYS CASK STRENGTH SB 5YR- BRL-614-750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"97616","IMPORTED BOTTLE BEER","DOS EQUIS LAGER 4/6 NR - 12.0Z (6-Pack)","6pk","13200","$9.99",,
"380073","AMERICAN WHITE","GRATSI WHITE 3L BIB","3L","0","$44.99",,
"90937","TEQUILA","MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"74700","SINGLE MALT SCOTCH","DALMORE 25YR SINGLE MALT - 750ML","750ML","0","$2,146.99",,
"54301","SESSION RTD","CLANDESTINO LA PERLA 6/4 CANS - 250ML (4-Pack)","4pk","0","$21.99",,
"89786","LIQ BASED RTD","TIP TOP MAI TAI COCKT RTD 6/4PK - 100ML (4-Pack)","4pk","0","$23.99",,
"169797","DOMESTIC VODKA FLAVORS","WHIPSHOTS VANILLA INFUSED WHIPPED CREAM VODKA 200ML","200ML","0","$13.99",,
"90955","TEQUILA","MAESTRO DOBEL DIAMANTE TEQUILA BARREL F4 750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"90938","TEQUILA","RESERVA DE LA FAMILIA ANEJO PRIVATE CASK TEQ F1 750ML (1 Bottle)","750ML","0","$113.99","$79.79","09/30/2025"
"40480","ASIAN","OZEKI SAKE - 1.5L","1.5L","0","$23.99",,
"56825","STRAIGHT RYE WHISKEY","CLYDE MAYS SPECIAL RESERVE - 750ML","750ML","0","$58.99",,
"68039","IMPORTED DESSERT WINE","LEACOCKS RAINWATER MADEIRA - 750ML","750ML","0","$21.99",,
"54607","STRAIGHT BOURBON WHISKEY","PENELOPE BOURBON TOASTED PR BRL - 6C- 750ML (1 Bottle)","750ML","0","$63.99","$44.79","09/30/2025"
"171049","STRAIGHT BOURBON WHISKEY","RABBIT HOLE HEIGOLD STRAIGHT BRBN SNG BRL #2-19H06B 750ML (1 Bottle)","750ML","0","$93.99","$65.79","09/30/2025"
"71055","SINGLE MALT SCOTCH","GLENFIDDICH AGE OF DISCOVERY 19YR SM - 750ML","750ML","0","$159.99",,
"245905","DOMESTIC LIQUOR SPECIALTY","FILIBUSTER TRIPLE CASK PRIVATE BARREL SCOTCH FINISH - 750ML (1 Bottle)","750ML","0","$79.99","$55.99","09/30/2025"
"235626","NEW ZEALAND","MOKOROA S/BLC - 750ML","750ML","0","$18.99",,
"346933","SPANISH/PORTUGUESE","BESO DEL SOL SANGRIA - 500ML","500ML","0","$7.99",,
"171896","SINGLE MALT SCOTCH","COMPASS BOX CELESTIAL SCOTCH 700ML","700ML","0","$179.99",,
"90957","TEQUILA","MAESTRO DOBEL DIAMANTE TEQUILA BARREL F5 750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"43190","AMERICAN WHITE","CH ST MICH INDIAN WELLS CHARD - 750ML","750ML","120","$21.99",,
"247329","TEQUILA","CINCO SENTIDOS TOBALA DE CUERO MEZCAL - 750ML","750ML","0","$146.99",,
"171146","AMERICAN RED","BLACK STALLION NORTH COAST CAB 750ML","750ML","0","$23.99",,
"96180","MALT BASE COOLERS","MIKES VARIETY 12 PK NR - 11.2Z (12-Pack)","12pk","22584","$23.99",,
"41449","AUSTRALIAN","WITHER HILLS S/BLC - 750ML","750ML","168","$16.99",,
"88628","AMERICAN WHITE","FRANCISCAN CAL S/BLC - 750ML","750ML","264","$12.99",,
"302410","AMERICAN RED","HAHN FNDR CAL P/NOIR - 750ML (1 Bottle)","750ML","48","$14.99","$11.99","09/30/2025"
"248146","FRENCH BLUSH","TWO BIRDS ONE STONE ROSE 750ML","750ML","0","$9.39",,
"170350","SESSION RTD","ABSOLUT & OCEAN SPRAY CRAN-PINEAPPLE 6/4PK 355ML (4-Pack)","4pk","0","$11.99",,
"112771","KOSHER","RASHI LIGHT WHITE CONCORD - 750ML","750ML","120","$5.99",,
"52172","STRAIGHT BOURBON WHISKEY","EZRA BROOKS DIST COLL BRL 16890 - 113P- 750ML (1 Bottle)","750ML","0","$41.99","$29.39","09/30/2025"
"54481","STRAIGHT BOURBON WHISKEY","CLYDE MAYS CASK STRENGTH SB - 5YR- BRL-611-750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"17664","IRISH WHISKEY","TULLAMORE DEW IRISH WHISKEY HONEY LIQUEUR 750ML","750ML","0","$26.99",,
"89858","STRAIGHT BOURBON WHISKEY","OLD SOUL PRVT BRL 17K30-59 - 750ML (1 Bottle)","750ML","0","$92.99","$65.09","09/30/2025"
"89855","STRAIGHT BOURBON WHISKEY","OLD SOUL PRVT BRL 17K30-110 - 750ML (1 Bottle)","750ML","0","$92.99","$65.09","09/30/2025"
"379998","MISCELLANEOUS IMPORTED WINE","HAN JAN MELON - 375ML","375ML","0","$11.99",,
"170260","STRAIGHT RYE WHISKEY","SAGAMORE SPIRIT RYE BARREL 121 750ML (1 Bottle)","750ML","0","$61.99","$43.39","09/30/2025"
"170261","STRAIGHT RYE WHISKEY","SAGAMORE SPIRIT RYE BARREL 96 750ML (1 Bottle)","750ML","0","$61.99","$43.39","09/30/2025"
"170965","STRAIGHT BOURBON WHISKEY","LAWS 4 GRAIN BOURBON BARREL SELECT 750ML (1 Bottle)","750ML","0","$87.99","$61.59","09/30/2025"
"75470","STRAIGHT BOURBON WHISKEY","WOODFORD RESERVE KY STRAIT - 1.75L","1.75L","816","$69.99",,
"88245","STRAIGHT BOURBON WHISKEY","YELLOWSTONE HAND PICKED BRL 102P  BRL 1 8039953 - 750ML (1 Bottle)","750ML","0","$54.99","$38.49","09/30/2025"
"89440","TEQUILA","CASA DRAGONES REPOSADO TEQ - 750ML","750ML","0","$184.99",,
"90958","TEQUILA","MAESTRO DOBEL ANEJO TEQUILA BARREL F2 750ML (1 Bottle)","750ML","0","$60.99","$42.69","09/30/2025"
"60268","DOMESTIC CAN BEER","7 LOCKS SNAKEDEN SAISON 4/6 CANS - 12.0Z (6-Pack)","6pk","0","$15.99",,
"42613","IRISH WHISKEY","SILKIE IRISH WHISKEY - 50ML","50ML","0","$6.59",,
"17326","STRAIGHT BOURBON WHISKEY","KNOB CREEK SINGLE BARREL SELECT 120P 750ML (1 Bottle)","750ML","0","$51.99","$36.39","09/30/2025"
"237310","ITALIAN WHITE WINE","LA CAPRANERA FALANGHINA WHITE - 750ML","750ML","0","$19.99",,
"34134","CHILE","CYT CASILLERO DEL DIABLO CARM - 750ML","750ML","2796","$11.99",,
"245904","STRAIGHT BOURBON WHISKEY","FILIBUSTER SINGLE ESTATE PRIVATE BARREL NO W/R/1/367 - 750ML (1 Bottle)","750ML","0","$45.99","$32.19","09/30/2025"
"54170","STRAIGHT BOURBON WHISKEY","YELLOWSTONE HAND PICKED BOURBON  - 23303 - 750ML (1 Bottle)","750ML","0","$56.99","$39.89","09/30/2025"
"42138","STRAIGHT BOURBON WHISKEY","OLD ELK 7YR WHEATED BOURBON MOCO EXCL - 750ML (1 Bottle)","750ML","0","$98.99","$69.29","09/30/2025"
"89099","STRAIGHT BOURBON WHISKEY","STELLUM SINGLE BARREL BOURB PERSEUS E6 VANILLUM 115.76P - 750ML (1 Bottle)","750ML","0","$54.99","$38.49","09/30/2025"
"89797","AMERICAN WHITE","BOORDY CHARDONNAY SEYVAL VIDAL (ROCKFISH) - 750ML","750ML","0","$17.99",,
"90939","TEQUILA","MAESTRO DOBEL ANEJO TEQUILA BARREL F1 750ML (1 Bottle)","750ML","0","$60.99","$42.69","09/30/2025"
"368432","IMPORTED RUM","TEN TO ONE UNCLE NEAREST RUM - 750ML","750ML","0","$74.99",,
"88615","STRAIGHT BOURBON WHISKEY","JEFFERSON'S OLD RUM SINGLE CASK BRL #20 - 750ML (1 Bottle)","750ML","0","$76.99","$53.89","09/30/2025"
"52169","STRAIGHT BOURBON WHISKEY","REBEL YELL DIST COLLECTION - BARREL 11363- 113P- 750ML (1 Bottle)","750ML","0","$37.99","$26.59","09/30/2025"
"168100","MISCELLANEOUS IMPORTED SPIRITS","JACOPO POLI NEGRONI RTS 700ML","700ML","0","$33.99",,
"248021","STRAIGHT RYE WHISKEY","LIMAVADY IRISH WHISKEY SINGLE BARREL 700ML (1 Bottle)","700ML","0","$49.99","$34.99","09/30/2025"
"379046","AMERICAN TABLE WINE","VIBE - VENDANGE STRAWBERRY LEMONADE - 500ML","500ML","444","$3.99",,
"91170","DOMESTIC CAN BEER","COORS LT 30PK CAN - 12.0Z","12.0Z","2666","$34.99",,
"52170","STRAIGHT BOURBON WHISKEY","REBEL YELL DIST COLLECTION - BARREL 8119523- 113P- 750ML (1 Bottle)","750ML","0","$37.99","$26.59","09/30/2025"
"52075","STRAIGHT BOURBON WHISKEY","JEFFERSONS PRICHARD HILL SB #132 - 90.2P - 750ML (1 Bottle)","750ML","0","$74.99","$52.49","09/30/2025"
"171046","STRAIGHT BOURBON WHISKEY","JEFFERSON'S RESERVE 100P SBRL #1065 750ML (1 Bottle)","750ML","0","$61.99","$43.39","09/30/2025"
"171709","FRANCE-OTHER","LE GARENNE SANCERRE ROUGE 750ML","750ML","0","$37.99",,
"78545","IMPORTED CORDIALS","RYANS IRISH CREAM - 750ML","750ML","0","$10.99",,
"14044","KOSHER","BARKAN CLASSIC CAB - 750ML","750ML","240","$14.99",,
"77190","LIQ BASED RTD","BULLEIT BOURBON - OLD FASHIONED COCKTAIL - 375ML","375ML","0","$13.99",,
"171292","ITALIAN RED WINE","MORELLINO DI SCANSANO ROGGIANO DOCG 750ML","750ML","0","$19.99",,
"89001","AMERICAN RED","CK MONDAVI CAB 1.5L","1.5L","60","$15.99",,
"333123","AMERICAN RED","DELOACH CAL P/NOIR HERITAGE RESERVE - 750ML","750ML","0","$17.99",,
"72528","IMPORTED BRANDY","CIROC VS FRENCH BRANDY - 750ML (1 Bottle)","750ML","120","$33.99","$29.99","09/30/2025"
"88587","AMERICAN WHITE","GALLO FAMILY VYDS S/BLC - 1.5L","1.5L","102","$10.99",,
"47180","DOMESTIC CORDIALS","SOUTHERN COMFORT 70P - 750ML","750ML","504","$14.99",,
"52174","STRAIGHT BOURBON WHISKEY","EZRA BROOKS DIST COLL BRL 10927 - 113P- 750ML (1 Bottle)","750ML","0","$41.99","$29.39","09/30/2025"
"81214","AMERICAN WHITE","BAREFOOT ON THE GO CHARD - 500ML","500ML","72","$4.99",,
"88611","STRAIGHT BOURBON WHISKEY","JEFFERSON'S RESERVE 100P BRL  SELECT #125 - 750ML (1 Bottle)","750ML","0","$67.99","$47.59","09/30/2025"
"367712","AMERICAN WHITE","BOTA BOX SAUVIGNON BLANC TETRA - 500ML","500ML","0","$5.99",,
"245906","DOMESTIC LIQUOR SPECIALTY","FILIBUSTER TRIPLE CASK PRIVATE BARREL TOKAJI FINISH - 750ML (1 Bottle)","750ML","0","$79.99","$55.99","09/30/2025"
"88806","BLENDED WHISKEY","ABASOLO ANCESTRAL CORN WHISKY ALMA TIERRA - 750ML","750ML","0","$49.99",,
"348889","AMERICAN TABLE WINE","LINGANORE SEVENTH - 750ML","750ML","0","$15.99",,
"20098","BLENDED WHISKEY","OLD LINE PRIVATE BARREL 16-0694 750ML (1 Bottle)","750ML","0","$54.99","$38.49","09/30/2025"
"336266","NON-ALCOHOLIC WINE","STELLA ROSA PEACH NA - 750ML","750ML","0","$9.99",,
"89009","STRAIGHT BOURBON WHISKEY","STELLUM BOURB EQUINOX BLEND #1 (117.26P BLACK LABEL) - 750ML (1 Bottle)","750ML","0","$124.99","$87.49","09/30/2025"
"89074","STRAIGHT RYE WHISKEY","BARRELL RYE S/B M302 MOCO SEL HIGH FLYING RYE WHISKEY 7YR - 750ML (1 Bottle)","750ML","0","$114.99","$80.49","09/30/2025"
"359396","IRISH WHISKEY","JOHN L SULLIVAN IRISH WHISKEY - 750ML","750ML","0","$28.99",,
"14184","IMPORTED RUM FLAVORS","SAILOR JERRY RUM - SPICED - 750ML","750ML","240","$18.99",,
"232996","NEW ZEALAND","CROWDED HOUSE S/BLC - 750ML","750ML","0","$17.99",,
"38512","IMPORTED RUM","CASTILLO RUM - WHITE - 750ML","750ML","0","$7.99",,
"241712","DOMESTIC GIN","INDOGGO GIN - 50ML","50ML","0","$1.09",,
"52095","SOUR MASH WHISKEY","JACK DANIELS S BARREL - PEr SELECT -1 -23-04664 - 750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"426854","SPANISH/PORTUGUESE","OCTAVE VINHO VERDE - 750ML","750ML","300","$7.99",,
"89297","SINGLE MALT SCOTCH","NC'NEAN AON18-405 ORG SINGLE MALT SCOTCH WHISKY - 700ML","700ML","0","$145.99",,
"88052","KOSHER","RASHI JOYVIN RED - 750ML","750ML","336","$9.99",,
"41459","COGNAC","COURVOISIER COGNAC VS - 375ML","375ML","0","$22.99",,
"171047","STRAIGHT BOURBON WHISKEY","RABBIT HOLE HEIGOLD STRAIGHT BRBN SNG BRL #5-19H31C 750ML (1 Bottle)","750ML","0","$93.99","$65.79","09/30/2025"
"50954","IMPORTED RUM FLAVORS","MALIBU RUM - MANGO - 750ML","750ML","372","$20.99",,
"52096","SOUR MASH WHISKEY","JACK DANIELS S BARREL - PER SELECT -2 - 23-04665 - 750ML (1 Bottle)","750ML","0","$47.99","$33.59","09/30/2025"
"44532","DOMESTIC VODKA FLAVORS","SMIRNOFF VODKA - WATERMELON - 50ML","50ML","18600","$0.99",,
"20099","BLENDED WHISKEY","OLD LINE PRIVATE BARREL 17-2077 750ML (1 Bottle)","750ML","0","$54.99","$38.49","09/30/2025"
"237218","ITALIAN RED WINE","TOLAINI VALDISANTI RED - 750ML","750ML","0","$42.99",,
"54471","STRAIGHT BOURBON WHISKEY","PENELOPE BOURBON TOASTED PRIVATE BARREL -5D - 750ML (1 Bottle)","750ML","0","$63.99","$44.79","09/30/2025"
"81033","SINGLE MALT SCOTCH","AUCHENTOSHAN AMERICAN OAK - 750ML","750ML","0","$43.99",,
"248008","STRAIGHT RYE WHISKEY","WHISTLEPIG RYE FARMSTOCK BARRELL MOCO BLEND 750ML (1 Bottle)","750ML","0","$80.99","$56.69","09/30/2025"
"171179","STRAIGHT RYE WHISKEY","SAGAMORE MEZCAL BARREL SELECT 750ML","750ML","0","$75.99",,
"71811","STRAIGHT BOURBON WHISKEY","WOODINVILLE - SINGLE BARREL HUTCH PROOF-9494 - 750ML (1 Bottle)","750ML","0","$71.99","$50.39","09/30/2025"
"239058","ITALIAN RED WINE","FARINA VALPOLICELLA - 750ML","750ML","0","$18.99",,
"54469","STRAIGHT BOURBON WHISKEY","PENELOPE BOURBON TOASTED PRIVATE BARREL - 35B- - 750ML (1 Bottle)","750ML","0","$63.99","$44.79","09/30/2025"
"84789","AMERICAN WHITE","CH ST MICH HARVEST SEL RIES - 750ML","750ML","540","$15.99",,
"72185","DOMESTIC VODKA FLAVORS","SMIRNOFF VODKA - RED WHITE & BERRY - 1.75L","1.75L","0","$27.99",,
"380935","SESSION RTD","BARTENURA ORANGE MIMOSA RTD 250ML 4PK CAN (4-Pack)","4pk","0","$18.99",,
"13281","AMERICAN RED","MISFIT CREME BRULEE PORT 375ML","375ML","0","$31.99",,
"17122","DOMESTIC CAN BEER","BLACK VIKING ZINGABIER 4/6 CANS - 12.0Z (6-Pack)","6pk","0","$14.99",,
"88166","STRAIGHT BOURBON WHISKEY","JEFFERSON'S RESERVE 100P SBRL #127 - 750ML (1 Bottle)","750ML","0","$58.99","$41.29","09/30/2025"
"90959","STRAIGHT BOURBON WHISKEY","STRANAHANS EMPIRE RYE CASK 750ML (1 Bottle)","750ML","0","$43.99","$30.79","09/30/2025"
"32260","DOMESTIC LIQUOR SPECIALTY","OLE SMOKY MOONSHINE STRAWBERRY CREAM 35 50ML","50ML","0","$3.89",,
"52065","STRAIGHT BOURBON WHISKEY","JEFFERSON'S RESERVE 100P SBRL #756 - 750ML (1 Bottle)","750ML","0","$65.99","$46.19","09/30/2025"
"23193","IMPORTED BOTTLE BEER","GUINNESS STOUT 2/12 - NR - 12.0Z (12-Pack)","12pk","34680","$22.99",,
"91651","LIQ BASED RTD","CUTWATER SPICY MANGO MARGARITA 6/4 CAN - 12.0Z (4-Pack)","4pk","0","$12.99",,
"248057","SESSION RTD","LAIRD'S LISA'S LEMONADE 355ML 6/4 CAN (4-Pack)","4pk","0","$13.99",,
"25135","ITALIAN WHITE WINE","RUFFINO LUMINA P/GRIG - 750ML","750ML","768","$12.99",,
"51050","MALT BASE COOLERS","TWISTED TEA PARTY PACK 2/12PK 12.0Z CAN (12-Pack)","12pk","20928","$18.99",,
"59005","AMERICAN RED","BENTON LANE P/NOIR - 750ML","750ML","96","$32.99",,
"246341","AMERICAN WHITE","RAEBURN SKY LIGHT CHARDONNAY 750ML","750ML","0","$19.99",,
"88901","STRAIGHT BOURBON WHISKEY","BARDSTOWN BOURB CO COLLAB SERIES FOUNDERS KY STRAIGHT BOURB WHISKEY - 750ML (1 Bottle)","750ML","0","$199.99","$139.99","09/30/2025"
"247857","SESSION RTD","GOOD BOY VODKA VARIETY PACK JD RTD 3/8PK - 355ML (8-Pack)","8pk","0","$26.99",,
"16380","MALT BASED SELTZER","7 LOCKS SORO HARD SELTZER 4/6 CANS - 12.0Z (6-Pack)","6pk","0","$15.99",,
"89861","STRAIGHT BOURBON WHISKEY","OLD SOUL PRVT BRL 17K30-122 - 750ML (1 Bottle)","750ML","0","$92.99","$65.09","09/30/2025"
"380072","AMERICAN BLUSH","GRATSI ROSE 3L BIB","3L","0","$44.99",,
