MonthDate,YearMonthKey,ISR_SA,ISR_NSA,Gap_abs,Gap_pct
2000-12-01,200012,1.63,1.36,0.2699999999999998,19.85294117647057
2001-01-01,200101,1.61,1.76,-0.1499999999999999,-8.522727272727268
2001-02-01,200102,1.6,1.78,-0.17999999999999994,-10.112359550561795
2001-03-01,200103,1.61,1.6,0.010000000000000009,0.6250000000000006
2001-04-01,200104,1.58,1.63,-0.04999999999999982,-3.0674846625766765
2001-05-01,200105,1.58,1.5,0.08000000000000007,5.3333333333333375
2001-06-01,200106,1.58,1.52,0.06000000000000005,3.947368421052635
2001-07-01,200107,1.59,1.55,0.040000000000000036,2.5806451612903247
2001-08-01,200108,1.59,1.48,0.1100000000000001,7.43243243243244
2001-09-01,200109,1.64,1.71,-0.07000000000000006,-4.093567251461992
2001-10-01,200110,1.47,1.57,-0.10000000000000009,-6.369426751592362
2001-11-01,200111,1.51,1.6,-0.09000000000000008,-5.625000000000005
2001-12-01,200112,1.54,1.3,0.24,18.46153846153846
2002-01-01,200201,1.54,1.68,-0.1399999999999999,-8.333333333333327
2002-02-01,200202,1.54,1.72,-0.17999999999999994,-10.465116279069765
2002-03-01,200203,1.54,1.55,-0.010000000000000009,-0.6451612903225812
2002-04-01,200204,1.52,1.55,-0.030000000000000027,-1.9354838709677438
2002-05-01,200205,1.55,1.47,0.08000000000000007,5.442176870748304
2002-06-01,200206,1.55,1.52,0.030000000000000027,1.9736842105263175
2002-07-01,200207,1.54,1.47,0.07000000000000006,4.761904761904766
2002-08-01,200208,1.53,1.41,0.1200000000000001,8.51063829787235
2002-09-01,200209,1.58,1.65,-0.06999999999999984,-4.242424242424233
2002-10-01,200210,1.57,1.66,-0.08999999999999986,-5.421686746987944
2002-11-01,200211,1.58,1.68,-0.09999999999999987,-5.952380952380945
2002-12-01,200212,1.56,1.33,0.22999999999999998,17.293233082706767
2003-01-01,200301,1.56,1.69,-0.1299999999999999,-7.692307692307685
2003-02-01,200302,1.59,1.79,-0.19999999999999996,-11.173184357541897
2003-03-01,200303,1.59,1.61,-0.020000000000000018,-1.2422360248447215
2003-04-01,200304,1.58,1.61,-0.030000000000000027,-1.8633540372670823
2003-05-01,200305,1.58,1.5,0.08000000000000007,5.3333333333333375
2003-06-01,200306,1.56,1.54,0.020000000000000018,1.2987012987012998
2003-07-01,200307,1.54,1.46,0.08000000000000007,5.479452054794526
2003-08-01,200308,1.52,1.42,0.10000000000000009,7.042253521126768
2003-09-01,200309,1.54,1.59,-0.050000000000000044,-3.1446540880503173
2003-10-01,200310,1.55,1.63,-0.07999999999999985,-4.907975460122691
2003-11-01,200311,1.56,1.68,-0.11999999999999988,-7.142857142857137
2003-12-01,200312,1.55,1.3,0.25,19.23076923076923
2004-01-01,200401,1.55,1.68,-0.1299999999999999,-7.738095238095231
2004-02-01,200402,1.55,1.7,-0.1499999999999999,-8.823529411764701
2004-03-01,200403,1.54,1.54,0.0,0.0
2004-04-01,200404,1.57,1.59,-0.020000000000000018,-1.2578616352201268
2004-05-01,200405,1.55,1.5,0.050000000000000044,3.333333333333336
2004-06-01,200406,1.58,1.54,0.040000000000000036,2.5974025974025996
2004-07-01,200407,1.58,1.49,0.09000000000000008,6.040268456375844
2004-08-01,200408,1.59,1.5,0.09000000000000008,6.000000000000005
2004-09-01,200409,1.55,1.6,-0.050000000000000044,-3.1250000000000027
2004-10-01,200410,1.55,1.65,-0.09999999999999987,-6.0606060606060534
2004-11-01,200411,1.55,1.66,-0.10999999999999988,-6.626506024096377
2004-12-01,200412,1.53,1.28,0.25,19.53125
2005-01-01,200501,1.56,1.71,-0.1499999999999999,-8.771929824561399
2005-02-01,200502,1.54,1.73,-0.18999999999999995,-10.98265895953757
2005-03-01,200503,1.54,1.53,0.010000000000000009,0.6535947712418306
2005-04-01,200504,1.53,1.55,-0.020000000000000018,-1.2903225806451624
2005-05-01,200505,1.54,1.49,0.050000000000000044,3.35570469798658
2005-06-01,200506,1.48,1.44,0.040000000000000036,2.7777777777777803
2005-07-01,200507,1.44,1.38,0.06000000000000005,4.347826086956526
2005-08-01,200508,1.47,1.37,0.09999999999999987,7.29927007299269
2005-09-01,200509,1.48,1.52,-0.040000000000000036,-2.6315789473684235
2005-10-01,200510,1.49,1.59,-0.10000000000000009,-6.289308176100635
2005-11-01,200511,1.49,1.59,-0.10000000000000009,-6.289308176100635
2005-12-01,200512,1.5,1.26,0.24,19.047619047619047
2006-01-01,200601,1.47,1.62,-0.15000000000000013,-9.259259259259267
2006-02-01,200602,1.48,1.65,-0.16999999999999993,-10.3030303030303
2006-03-01,200603,1.49,1.48,0.010000000000000009,0.6756756756756763
2006-04-01,200604,1.48,1.52,-0.040000000000000036,-2.6315789473684235
2006-05-01,200605,1.5,1.43,0.07000000000000006,4.895104895104899
2006-06-01,200606,1.5,1.46,0.040000000000000036,2.739726027397263
2006-07-01,200607,1.5,1.44,0.06000000000000005,4.1666666666666705
2006-08-01,200608,1.49,1.39,0.10000000000000009,7.1942446043165535
2006-09-01,200609,1.5,1.55,-0.050000000000000044,-3.2258064516129057
2006-10-01,200610,1.5,1.62,-0.1200000000000001,-7.407407407407414
2006-11-01,200611,1.49,1.6,-0.1100000000000001,-6.875000000000006
2006-12-01,200612,1.49,1.26,0.22999999999999998,18.253968253968253
2007-01-01,200701,1.49,1.62,-0.13000000000000012,-8.024691358024699
